Topic,Subtopic,ShortQuestionText,Greater_Risk_Question,Description,Data_Value_Symbol,Data_Value_Type,Greater_Risk_Data_Value,Greater_Risk_Low_Confidence_Limit,Greater_Risk_High_Confidence_Limit,Lesser_Risk_Question,Lesser_Risk_Data_Value,Lesser_Risk_Data_Value_Footnote_Symbol,Lesser_Risk_Data_Value_Footnote,Lesser_Risk_Low_Confidence_Limit,Lesser_Risk_High_Confidence_Limit,Sample_Size,Sex,Race,Grade,SexualIdentity,SexOfSexualContacts
Sexual Behaviors,Sexual Behaviors,Multiple sex partners,Had sexual intercourse with four or more persons during their life,NULL,%,Percentage,23.0602,16.2409,31.6605,Did not have sexual intercourse with four or more persons during their life,76.9398,,,68.3395,83.7591,107,Total,Hispanic or Latino,12th,Total,Total
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Obesity,Had obesity,"students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,23.0774,12.1955,39.3207,NULL,76.9226,,,60.6793,87.8045,40,Male,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current electronic vapor product use,Currently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on at least 1 day during the 30 days before the survey",%,Percentage,23.1304,12.3258,39.1742,Did not currently use an electronic vapor product,76.8696,,,60.8258,87.6742,55,Male,Hispanic or Latino,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical fighting,Were in a physical fight,one or more times during the 12 months before the survey,%,Percentage,23.1371,13.2017,37.3336,Were not in a physical fight,76.8629,,,62.6664,86.7983,55,Male,Hispanic or Latino,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical fighting,Were in a physical fight,one or more times during the 12 months before the survey,%,Percentage,23.158,10.3872,43.9325,Were not in a physical fight,76.842,,,56.0675,89.6128,32,Total,Total,12th,Total,Same sex only or both sexes
Sexual Behaviors,Sexual Behaviors,Multiple sex partners,Had sexual intercourse with four or more persons during their life,NULL,%,Percentage,23.1823,15.3663,33.4048,Did not have sexual intercourse with four or more persons during their life,76.8177,,,66.5952,84.6337,121,Male,Total,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current electronic vapor product use,Currently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on at least 1 day during the 30 days before the survey",%,Percentage,23.1951,10.896,42.7209,Did not currently use an electronic vapor product,76.8049,,,57.2791,89.104,33,Total,Total,12th,"Gay, lesbian, or bisexual",Total
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,23.252,16.025,32.4776,"Were not offered, sold, or given an illegal drug on school property",76.748,,,67.5224,83.975,117,Total,Black or African American,12th,Total,Total
Alcohol and Other Drug Use,Alcohol Use,Current alcohol use,Currently drank alcohol,"at least one drink of alcohol, on at least 1 day during the 30 days before the survey",%,Percentage,23.3211,12.896,38.4534,Did not currently drink alcohol,76.6789,,,61.5466,87.104,64,Female,Total,12th,Total,No sexual contact
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Riding with a drinking driver,Rode with a driver who had been drinking alcohol,"in a car or other vehicle, one or more times during the 30 days before the survey",%,Percentage,23.3222,15.0117,34.3725,Did not ride with a driver who had been drinking alcohol,76.6778,,,65.6275,84.9883,123,Total,Black or African American,12th,Total,Total
Sexual Behaviors,Sexual Behaviors,Multiple sex partners,Had sexual intercourse with four or more persons during their life,NULL,%,Percentage,23.3476,16.3529,32.1829,Did not have sexual intercourse with four or more persons during their life,76.6524,,,67.8171,83.6471,98,Total,Hispanic or Latino,12th,Heterosexual (straight),Total
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Overweight,Were overweight,"students who were >= 85th percentile but <95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,23.348,13.8099,36.671,NULL,76.652,,,63.329,86.1901,48,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Dietary Behaviors,Breakfast,Breakfast eating,Did not eat breakfast,during the 7 days before the survey,%,Percentage,23.3809,11.1759,42.5324,Ate breakfast on one or more days,76.6191,,,57.4676,88.8241,33,Total,Total,12th,"Gay, lesbian, or bisexual",Total
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,23.3978,15.6369,33.4819,"Were not offered, sold, or given an illegal drug on school property",76.6022,,,66.5181,84.3631,73,Total,Hispanic or Latino,12th,Total,Opposite sex only
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Obesity,Had obesity,"students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,23.4057,15.8491,33.1461,NULL,76.5943,,,66.8539,84.1509,110,Total,Black or African American,12th,Total,Total
Sexual Behaviors,Sexual Behaviors,Multiple sex partners,Had sexual intercourse with four or more persons during their life,NULL,%,Percentage,23.4345,15.588,33.656,Did not have sexual intercourse with four or more persons during their life,76.5655,,,66.344,84.412,136,Male,Total,12th,Total,Total
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,23.4609,17.1465,31.2244,"Were not offered, sold, or given an illegal drug on school property",76.5391,,,68.7756,82.8535,95,Male,Total,12th,Total,Opposite sex only
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Overweight,Were overweight,"students who were >= 85th percentile but <95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,23.4741,16.184,32.7644,NULL,76.5259,,,67.2356,83.816,97,Female,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Riding with a drinking driver,Rode with a driver who had been drinking alcohol,"in a car or other vehicle, one or more times during the 30 days before the survey",%,Percentage,23.4758,18.2561,29.6466,Did not ride with a driver who had been drinking alcohol,76.5242,,,70.3534,81.7439,126,Total,Hispanic or Latino,12th,Total,Total
Tobacco Use,Other Tobacco Use,Current electronic vapor product use,Currently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on at least 1 day during the 30 days before the survey",%,Percentage,23.5025,10.8616,43.6509,Did not currently use an electronic vapor product,76.4975,,,56.3491,89.1384,33,Female,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Riding with a drinking driver,Rode with a driver who had been drinking alcohol,"in a car or other vehicle, one or more times during the 30 days before the survey",%,Percentage,23.5217,14.9203,35.0396,Did not ride with a driver who had been drinking alcohol,76.4783,,,64.9604,85.0797,57,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,23.5403,17.0158,31.6135,"Were not offered, sold, or given an illegal drug on school property",76.4597,,,68.3865,82.9842,190,Total,Total,12th,Total,Opposite sex only
Sexual Behaviors,Sexual Behaviors,Multiple sex partners,Had sexual intercourse with four or more persons during their life,NULL,%,Percentage,23.5846,16.5451,32.4544,Did not have sexual intercourse with four or more persons during their life,76.4154,,,67.5456,83.4549,105,Total,Black or African American,12th,Total,Total
Dietary Behaviors,Vegetables,No vegetable eating,Did not eat vegetables,"green salad, potatoes (not counting French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",%,Percentage,23.5891,12.913,39.1263,Ate vegetables,76.4109,,,60.8737,87.087,46,Male,Black or African American,12th,Heterosexual (straight),Total
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Overweight,Were overweight,"students who were >= 85th percentile but <95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,23.5993,14.2426,36.4874,NULL,76.4007,,,63.5126,85.7574,86,Total,Total,12th,Total,No sexual contact
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,23.6074,18.9608,28.9855,"Were not offered, sold, or given an illegal drug on school property",76.3926,,,71.0145,81.0392,155,Male,Total,12th,Total,Total
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Obesity,Had obesity,"students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,23.6154,11.4857,42.4163,NULL,76.3846,,,57.5837,88.5143,32,Male,Black or African American,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,23.623,14.2256,36.5809,"Were not offered, sold, or given an illegal drug on school property",76.377,,,63.4191,85.7744,95,Female,Total,12th,Total,Opposite sex only
"Obesity, Overweight, and Weight Control",Weight Control,Weight loss,Were not trying to lose weight,NULL,%,Percentage,23.6593,15.879,33.7234,Were trying to lose weight,76.3407,,,66.2766,84.121,33,Female,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Suicide-Related Behaviors,Sad or hopeless,Felt sad or hopeless,"almost every day for 2 weeks or more in a row so that they stopped doing some usual activities, during the 12 months before the survey",%,Percentage,23.7376,17.0248,32.0741,Did not feel sad or hopeless,76.2624,,,67.9259,82.9752,109,Total,Hispanic or Latino,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Riding with a drinking driver,Rode with a driver who had been drinking alcohol,"in a car or other vehicle, one or more times during the 30 days before the survey",%,Percentage,23.8911,16.5191,33.2428,Did not ride with a driver who had been drinking alcohol,76.1089,,,66.7572,83.4809,125,Total,Black or African American,12th,Total,Total
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,23.8918,15.7433,34.5293,"Were not offered, sold, or given an illegal drug on school property",76.1082,,,65.4707,84.2567,96,Total,Black or African American,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Alcohol Use,Source of alcohol,Usually got the alcohol they drank by someone giving it to them,"during the 30 days before the survey, among students who currently drank alcohol",%,Percentage,23.9542,15.007,35.9775,Did not usually get the alcohol they drank by someone giving it to them,76.0458,,,64.0225,84.993,39,Male,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Weapon carrying,Carried a weapon,"such as a gun, knife, or club, on at least 1 day during the 30 days before the survey",%,Percentage,23.956,11.9747,42.1806,Did not carry a weapon,76.044,,,57.8194,88.0253,34,Total,Total,12th,"Gay, lesbian, or bisexual",Total
Other Health Topics,Asthma,Asthma,Were ever told by a doctor or nurse that they had asthma,NULL,%,Percentage,23.9601,17.8971,31.2943,Were never told by a doctor or nurse that they had asthma,76.0399,,,68.7057,82.1029,102,Total,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Sad or hopeless,Felt sad or hopeless,"almost every day for 2 weeks or more in a row so that they stopped doing some usual activities, during the 12 months before the survey",%,Percentage,24.0439,18.6045,30.4781,Did not feel sad or hopeless,75.9561,,,69.5219,81.3955,299,Total,Total,12th,Heterosexual (straight),Total
Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,24.0576,15.0258,36.2053,Were physically active for a total of at least 60 minutes on at least 1 day,75.9424,,,63.7947,84.9742,71,Total,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Riding with a drinking driver,Rode with a driver who had been drinking alcohol,"in a car or other vehicle, one or more times during the 30 days before the survey",%,Percentage,24.102,14.3009,37.6678,Did not ride with a driver who had been drinking alcohol,75.898,,,62.3322,85.6991,52,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Current marijuana use,Currently used marijuana,"also called grass, pot, or weed, one or more times during the 30 days before the survey",%,Percentage,24.1053,11.5735,43.5272,Did not currently use marijuana,75.8947,,,56.4728,88.4265,30,Male,Black or African American,12th,Total,Opposite sex only
Other Health Topics,Oral Health Care,Oral health care,N/A,"for a check-up, exam, teeth cleaning, or other dental work, during the 12 months before the survey",%,Percentage,24.1344,16.8729,33.2702,Saw a dentist,75.8656,,,66.7298,83.1271,92,Female,Total,12th,Total,Opposite sex only
Sexual Behaviors,Sexual Behaviors,Multiple sex partners,Had sexual intercourse with four or more persons during their life,NULL,%,Percentage,24.1425,15.5325,35.5182,Did not have sexual intercourse with four or more persons during their life,75.8575,,,64.4818,84.4675,69,Total,Hispanic or Latino,12th,Total,Opposite sex only
"Obesity, Overweight, and Weight Control",Weight Control,Weight loss,Were not trying to lose weight,NULL,%,Percentage,24.1633,15.5032,35.6216,Were trying to lose weight,75.8367,,,64.3784,84.4968,51,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Sexual Behaviors,Sexual Behaviors,Current sexual activity,Were currently sexually active,"had sexual intercourse with at least one person, during the 3 months before the survey",%,Percentage,24.1732,11.8856,42.9691,Were not currently sexually active,75.8268,,,57.0309,88.1144,38,Total,Asian,12th,Heterosexual (straight),Total
Dietary Behaviors,Milk,No milk drinking,Did not drink milk,"counting milk in a glass or cup, from a carton, or with cereal and counting the half pint of milk served at school as equal to one glass, during the 7 days before the survey",%,Percentage,24.1935,12.8935,40.7625,Drank milk,75.8065,,,59.2375,87.1065,31,Male,Black or African American,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Suicide-Related Behaviors,Considered suicide,Seriously considered attempting suicide,during the 12 months before the survey,%,Percentage,24.2293,12.3069,42.1501,Did not seriously consider attempting suicide,75.7707,,,57.8499,87.6931,32,Total,Total,12th,Total,Same sex only or both sexes
Alcohol and Other Drug Use,Other Drug Use,Current marijuana use,Currently used marijuana,"also called grass, pot, or weed, one or more times during the 30 days before the survey",%,Percentage,24.2433,15.544,35.7502,Did not currently use marijuana,75.7567,,,64.2498,84.456,159,Female,Total,12th,Heterosexual (straight),Total
Other Health Topics,Asthma,Asthma,Were ever told by a doctor or nurse that they had asthma,NULL,%,Percentage,24.2439,12.2889,42.2297,Were never told by a doctor or nurse that they had asthma,75.7561,,,57.7703,87.7111,31,Male,Black or African American,12th,Total,Opposite sex only
Dietary Behaviors,Soda or pop,Soda drinking >= 2 times,"Drank a can, bottle, or glass of soda or pop two or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,24.2586,12.3213,42.1953,NULL,75.7414,,,57.8047,87.6787,33,Total,Total,12th,"Gay, lesbian, or bisexual",Total
Other Health Topics,Asthma,Asthma,Were ever told by a doctor or nurse that they had asthma,NULL,%,Percentage,24.2617,16.1583,34.745,Were never told by a doctor or nurse that they had asthma,75.7383,,,65.255,83.8417,43,Female,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Forced sexual intercourse,Were ever physically forced to have sexual intercourse,when they did not want to,%,Percentage,24.2637,11.6058,43.8746,Were never physically forced to have sexual intercourse,75.7363,,,56.1254,88.3942,31,Female,Black or African American,12th,Total,Opposite sex only
Physical Activity,Physical Activity,Television watching,Watched television 3 or more hours per day,on an average school day,%,Percentage,24.2694,15.5112,35.8731,Did not watch television 3 or more hours per day,75.7306,,,64.1269,84.4888,72,Total,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Seat belt use,Rarely or never wore a seat belt,when riding in a car driven by someone else,%,Percentage,24.3012,15.555,35.876,"Sometimes, most of the time, or always wore a seat belt",75.6988,,,64.124,84.445,94,Male,Total,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Alcohol Use,Current alcohol use,Currently drank alcohol,"at least one drink of alcohol, on at least 1 day during the 30 days before the survey",%,Percentage,24.3755,16.2998,34.7892,Did not currently drink alcohol,75.6245,,,65.2108,83.7002,97,Total,Black or African American,12th,Heterosexual (straight),Total
Dietary Behaviors,Milk,No milk drinking,Did not drink milk,"counting milk in a glass or cup, from a carton, or with cereal and counting the half pint of milk served at school as equal to one glass, during the 7 days before the survey",%,Percentage,24.3851,17.3258,33.1667,Drank milk,75.6149,,,66.8333,82.6742,150,Male,Total,12th,Total,Total
Dietary Behaviors,Breakfast,Breakfast eating,Did not eat breakfast,during the 7 days before the survey,%,Percentage,24.4137,13.9102,39.2337,Ate breakfast on one or more days,75.5863,,,60.7663,86.0898,48,Male,Black or African American,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current tobacco use,Currently smoked cigarettes or cigars or used smokeless tobacco or an electronic vapor product,on at least 1 day during the 30 days before the survey,%,Percentage,24.4231,9.4663,49.9684,NULL,75.5769,,,50.0316,90.5337,35,Total,White,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Alcohol Use,Initiation of alcohol use,Had their first drink of alcohol before age 13 years,other than a few sips,%,Percentage,24.4638,11.9249,43.6525,Did not have their first drink of alcohol before age 13 years,75.5362,,,56.3475,88.0751,31,Total,Total,12th,Total,Same sex only or both sexes
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Riding with a drinking driver,Rode with a driver who had been drinking alcohol,"in a car or other vehicle, one or more times during the 30 days before the survey",%,Percentage,24.4659,14.1731,38.85,Did not ride with a driver who had been drinking alcohol,75.5341,,,61.15,85.8269,43,Female,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Seat belt use,Rarely or never wore a seat belt,when riding in a car driven by someone else,%,Percentage,24.4696,15.7305,35.9902,"Sometimes, most of the time, or always wore a seat belt",75.5304,,,64.0098,84.2695,52,Male,Black or African American,12th,Heterosexual (straight),Total
Dietary Behaviors,Soda or pop,Soda drinking >= 1 times,"Drank a can, bottle, or glass of soda or pop one or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,24.4747,13.2267,40.7914,NULL,75.5253,,,59.2086,86.7733,32,Total,Total,12th,Total,Same sex only or both sexes
Dietary Behaviors,Soda or pop,Soda drinking >= 2 times,"Drank a can, bottle, or glass of soda or pop two or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,24.4747,13.2267,40.7914,NULL,75.5253,,,59.2086,86.7733,32,Total,Total,12th,Total,Same sex only or both sexes
Physical Activity,Physical Activity,Television watching,Watched television 3 or more hours per day,on an average school day,%,Percentage,24.4904,16.6635,34.473,Did not watch television 3 or more hours per day,75.5096,,,65.527,83.3365,102,Total,Black or African American,12th,Heterosexual (straight),Total
Physical Activity,Physical Activity,Television watching,Watched television 3 or more hours per day,on an average school day,%,Percentage,24.6008,17.4237,33.5337,Did not watch television 3 or more hours per day,75.3992,,,66.4663,82.5763,114,Total,Black or African American,12th,Total,Total
Physical Activity,Physical Activity,Television watching,Watched television 3 or more hours per day,on an average school day,%,Percentage,24.6189,16.605,34.8825,Did not watch television 3 or more hours per day,75.3811,,,65.1175,83.395,60,Total,Black or African American,12th,Total,Opposite sex only
Other Health Topics,Oral Health Care,Oral health care,N/A,"for a check-up, exam, teeth cleaning, or other dental work, during the 12 months before the survey",%,Percentage,24.628,18.2041,32.4203,Saw a dentist,75.372,,,67.5797,81.7959,197,Female,Total,12th,Total,Total
Tobacco Use,Cigarette Use,Current cigarette use,Currently smoked cigarettes,on at least 1 day during the 30 days before the survey,%,Percentage,24.6617,12.6911,42.4356,Did not currently smoke cigarettes,75.3383,,,57.5644,87.3089,30,Total,Total,12th,Total,Same sex only or both sexes
Dietary Behaviors,Milk,No milk drinking,Did not drink milk,"counting milk in a glass or cup, from a carton, or with cereal and counting the half pint of milk served at school as equal to one glass, during the 7 days before the survey",%,Percentage,24.6714,13.2326,41.2925,Drank milk,75.3286,,,58.7075,86.7674,48,Male,Black or African American,12th,Heterosexual (straight),Total
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Overweight,Were overweight,"students who were >= 85th percentile but <95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,24.6731,10.421,47.9773,NULL,75.3269,,,52.0227,89.579,35,Total,White,12th,Heterosexual (straight),Total
Dietary Behaviors,Milk,No milk drinking,Did not drink milk,"counting milk in a glass or cup, from a carton, or with cereal and counting the half pint of milk served at school as equal to one glass, during the 7 days before the survey",%,Percentage,24.6809,16.2459,35.6322,Drank milk,75.3191,,,64.3678,83.7541,118,Total,Hispanic or Latino,12th,Total,Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Sad or hopeless,Felt sad or hopeless,"almost every day for 2 weeks or more in a row so that they stopped doing some usual activities, during the 12 months before the survey",%,Percentage,24.7543,17.4904,33.7992,Did not feel sad or hopeless,75.2457,,,66.2008,82.5096,144,Male,Total,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Riding with a drinking driver,Rode with a driver who had been drinking alcohol,"in a car or other vehicle, one or more times during the 30 days before the survey",%,Percentage,24.8051,13.4686,41.1463,Did not ride with a driver who had been drinking alcohol,75.1949,,,58.8537,86.5314,51,Male,Black or African American,12th,Heterosexual (straight),Total
Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,24.8052,13.7882,40.4907,Were physically active for a total of at least 60 minutes on at least 1 day,75.1948,,,59.5093,86.2118,38,Male,Total,12th,Total,No sexual contact
Alcohol and Other Drug Use,Other Drug Use,Current marijuana use,Currently used marijuana,"also called grass, pot, or weed, one or more times during the 30 days before the survey",%,Percentage,24.8059,16.7913,35.0351,Did not currently use marijuana,75.1941,,,64.9649,83.2087,120,Total,Black or African American,12th,Total,Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Sad or hopeless,Felt sad or hopeless,"almost every day for 2 weeks or more in a row so that they stopped doing some usual activities, during the 12 months before the survey",%,Percentage,24.8374,12.3076,43.758,Did not feel sad or hopeless,75.1626,,,56.242,87.6924,33,Male,Black or African American,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,24.8452,16.3558,35.8523,"Were not offered, sold, or given an illegal drug on school property",75.1548,,,64.1477,83.6442,48,Male,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Unintentional Injuries,Riding with a drinking driver,Rode with a driver who had been drinking alcohol,"in a car or other vehicle, one or more times during the 30 days before the survey",%,Percentage,24.8993,11.3498,46.1952,Did not ride with a driver who had been drinking alcohol,75.1007,,,53.8048,88.6502,32,Female,Black or African American,12th,Total,Opposite sex only
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Overweight,Were overweight,"students who were >= 85th percentile but <95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,24.957,19.2221,31.7307,NULL,75.043,,,68.2693,80.7779,163,Female,Total,12th,Total,Total
Tobacco Use,Other Tobacco Use,Current tobacco use,Currently smoked cigarettes or cigars or used smokeless tobacco or an electronic vapor product,on at least 1 day during the 30 days before the survey,%,Percentage,25.0046,13.4871,41.6251,NULL,74.9954,,,58.3749,86.5129,31,Total,Total,12th,Total,Same sex only or both sexes
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,25.0522,18.9364,32.3549,"Were not offered, sold, or given an illegal drug on school property",74.9478,,,67.6451,81.0636,121,Total,Hispanic or Latino,12th,Total,Total
Other Health Topics,Asthma,Asthma,Were ever told by a doctor or nurse that they had asthma,NULL,%,Percentage,25.0888,15.8678,37.293,Were never told by a doctor or nurse that they had asthma,74.9112,,,62.707,84.1322,60,Total,Black or African American,12th,Total,Opposite sex only
Other Health Topics,Asthma,Asthma,Were ever told by a doctor or nurse that they had asthma,NULL,%,Percentage,25.1673,20.8004,30.1026,Were never told by a doctor or nurse that they had asthma,74.8327,,,69.8974,79.1996,343,Total,Total,12th,Total,Total
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Overweight,Were overweight,"students who were >= 85th percentile but <95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,25.1683,17.7804,34.3438,NULL,74.8317,,,65.6562,82.2196,130,Female,Total,12th,Heterosexual (straight),Total
Other Health Topics,Asthma,Asthma,Were ever told by a doctor or nurse that they had asthma,NULL,%,Percentage,25.1791,20.5613,30.4367,Were never told by a doctor or nurse that they had asthma,74.8209,,,69.5633,79.4387,288,Total,Total,12th,Heterosexual (straight),Total
Other Health Topics,Oral Health Care,Oral health care,N/A,"for a check-up, exam, teeth cleaning, or other dental work, during the 12 months before the survey",%,Percentage,25.1854,18.2129,33.7263,Saw a dentist,74.8146,,,66.2737,81.7871,159,Female,Total,12th,Heterosexual (straight),Total
Physical Activity,Physical Activity,Television watching,Watched television 3 or more hours per day,on an average school day,%,Percentage,25.1986,11.4972,46.626,Did not watch television 3 or more hours per day,74.8014,,,53.374,88.5028,30,Female,Black or African American,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Suicide-Related Behaviors,Considered suicide,Seriously considered attempting suicide,during the 12 months before the survey,%,Percentage,25.2927,11.2643,47.4496,Did not seriously consider attempting suicide,74.7073,,,52.5504,88.7357,31,Female,Black or African American,12th,Total,Opposite sex only
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Obesity,Had obesity,"students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,25.3017,16.4981,36.7362,NULL,74.6983,,,63.2638,83.5019,63,Total,Black or African American,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,25.3253,11.5831,46.7508,"Were not offered, sold, or given an illegal drug on school property",74.6747,,,53.2492,88.4169,31,Female,Black or African American,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Weapon carrying,Carried a weapon,"such as a gun, knife, or club, on at least 1 day during the 30 days before the survey",%,Percentage,25.3543,17.603,35.0663,Did not carry a weapon,74.6457,,,64.9337,82.397,94,Male,Total,12th,Total,Opposite sex only
Dietary Behaviors,Milk,No milk drinking,Did not drink milk,"counting milk in a glass or cup, from a carton, or with cereal and counting the half pint of milk served at school as equal to one glass, during the 7 days before the survey",%,Percentage,25.4881,11.7292,46.8251,Drank milk,74.5119,,,53.1749,88.2708,37,Total,White,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Illegal drugs at school,"Were offered, sold, or given an illegal drug on school property",during the 12 months before the survey,%,Percentage,25.497,14.3355,41.1721,"Were not offered, sold, or given an illegal drug on school property",74.503,,,58.8279,85.6645,62,Total,Black or African American,12th,Total,Opposite sex only
"Obesity, Overweight, and Weight Control",Obesity and Overweight,Overweight,Were overweight,"students who were >= 85th percentile but <95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",%,Percentage,25.5058,10.7394,49.3502,NULL,74.4942,,,50.6498,89.2606,31,Female,Black or African American,12th,Total,Opposite sex only
